,id,name,tags,created,license,type,channels,filesize,bitrate,bitdepth,duration,samplerate,username,file_path,target_instrument,target
0,246577,overall quality of single note - flute - G#4,"['flute', 'Gsharp4', 'single-note', 'good-sounds', 'multisample', 'neumann-U87']",2014-09-10T11:40:02,http://creativecommons.org/licenses/by/3.0/,wav,1,936736,0,24,6.5,48000.0,MTG,./freesound/246577/overall quality of single note - flute - G#4.wav,Flute,3
1,246578,overall quality of single note - flute - A4,"['flute', 'A4', 'single-note', 'good-sounds', 'multisample', 'neumann-U87']",2014-09-10T11:40:04,http://creativecommons.org/licenses/by/3.0/,wav,1,1008736,0,24,7.0,48000.0,MTG,./freesound/246578/overall quality of single note - flute - A4.wav,Flute,3
2,246579,overall quality of single note - flute - A4,"['flute', 'A4', 'single-note', 'good-sounds', 'multisample', 'neumann-U87']",2014-09-10T11:40:06,http://creativecommons.org/licenses/by/3.0/,wav,1,864736,0,24,6.0,48000.0,MTG,./freesound/246579/overall quality of single note - flute - A4.wav,Flute,3
3,246580,overall quality of single note - flute - A#4,"['flute', 'Asharp4', 'single-note', 'good-sounds', 'multisample', 'neumann-U87']",2014-09-10T11:40:07,http://creativecommons.org/licenses/by/3.0/,wav,1,1008736,0,24,7.0,48000.0,MTG,./freesound/246580/overall quality of single note - flute - A#4.wav,Flute,3
4,246581,overall quality of single note - flute - A#4,"['flute', 'Asharp4', 'single-note', 'good-sounds', 'multisample', 'neumann-U87']",2014-09-10T11:40:10,http://creativecommons.org/licenses/by/3.0/,wav,1,936736,0,24,6.5,48000.0,MTG,./freesound/246581/overall quality of single note - flute - A#4.wav,Flute,3
5,246582,overall quality of single note - flute - B4,"['multisample', 'flute', 'B4', 'single-note', 'good-sounds', 'neumann-U87']",2014-09-10T11:40:11,http://creativecommons.org/licenses/by/3.0/,wav,1,936736,0,24,6.5,48000.0,MTG,./freesound/246582/overall quality of single note - flute - B4.wav,Flute,3
6,246583,overall quality of single note - flute - B4,"['multisample', 'flute', 'B4', 'single-note', 'good-sounds', 'neumann-U87']",2014-09-10T11:40:13,http://creativecommons.org/licenses/by/3.0/,wav,1,936736,0,24,6.5,48000.0,MTG,./freesound/246583/overall quality of single note - flute - B4.wav,Flute,3
7,246584,overall quality of single note - flute - C5,"['multisample', 'flute', 'single-note', 'C5', 'good-sounds', 'neumann-U87']",2014-09-10T11:40:15,http://creativecommons.org/licenses/by/3.0/,wav,1,864736,0,24,6.0,48000.0,MTG,./freesound/246584/overall quality of single note - flute - C5.wav,Flute,3
8,246585,overall quality of single note - flute - C5,"['flute', 'single-note', 'C5', 'good-sounds', 'multisample', 'neumann-U87']",2014-09-10T11:40:16,http://creativecommons.org/licenses/by/3.0/,wav,1,936736,0,24,6.5,48000.0,MTG,./freesound/246585/overall quality of single note - flute - C5.wav,Flute,3
9,246586,overall quality of single note - flute - C#5,"['Csharp5', 'flute', 'single-note', 'good-sounds', 'multisample', 'neumann-U87']",2014-09-10T11:40:18,http://creativecommons.org/licenses/by/3.0/,wav,1,1008736,0,24,7.0,48000.0,MTG,./freesound/246586/overall quality of single note - flute - C#5.wav,Flute,3
